,CPIAUCSL,CPIAUCSL,GS5,GS5,UNRATE,UNRATE,RPI,RPI
,Val,Test,Val,Test,Val,Test,Val,Test
1,0.9843474219270899,0.8988687223926621,0.5918945470007618,0.8387742498407629,0.4821105109461975,0.6328757838546142,0.763114173332129,0.8802095862433169
3,0.9555837824647828,0.9351174383873179,0.6605809752087102,0.7781255324286787,0.4304651685391446,0.730321170408966,0.8330687029661523,0.8315885460581038
6,0.9451167765962046,0.950333424582338,0.7279283046957524,0.7847617160123581,0.5158530600470228,0.7851840476129403,0.9484124234599939,0.9027168186563279
12,0.9470013567327433,0.9980687728128135,0.7074004198566524,0.8580171925008022,0.6768618763176328,0.8325072401654623,0.940998226928341,0.8918062633836459
24,0.9901842977406419,0.9997172264302954,0.8176648250219374,0.8872579025055776,0.5482873028460722,0.8021404923130154,0.9768737273105874,0.9512560516135415
60,1.0048879655197647,0.9791230944706024,0.685518303549785,0.8519364045676415,0.5537311494826463,0.8453862880419888,0.9603291823810082,0.9901022273669748
120,1.0060728835021444,0.9854394917274175,0.939619456455759,0.9293642487679179,0.4861605558369949,0.920089957328184,0.9778488967527426,0.9891428716568615
240,1.0004382323449061,0.9995786250196331,0.9901620287897411,0.9865261519369526,0.7507878991820507,0.9974190624950638,0.9833458709195936,0.99154481735531
